cam_id,gimbal_speed,pan_setpoint,tilt_setpoint,execution_time
2,3,40,1,3.601973900105804
2,3,-50,2,3.5954370042309165
2,3,45,3,
2,3,-50,4,1.3935325550846756
2,3,50,5,4.197513459250331
2,4,-50,-5,4.186976730357856
2,4,-45,-4,2.194693452678621
2,4,-50,-3,3.997641033027321
2,4,-40,-2,
2,4,-50,-1,
2,4,-35,0,
2,4,-50,1,
2,4,-30,2,
2,4,-50,3,16.723182669840753
2,4,-25,4,3.6049495222978294
2,4,-50,5,3.393891764804721
2,4,-20,-5,2.5920809130184352
2,4,-50,-4,4.001148111186922
2,4,-15,-3,2.3941705892793834
2,4,-50,-2,3.5903222858905792
2,4,-10,-1,2.995391706004739
2,4,-50,0,3.4020501798950136
2,4,-5,1,2.5894330870360136
2,4,-50,2,3.7954641920514405
2,4,0,3,
2,4,-50,4,11.401475708000362
2,4,5,5,3.185941976029426
2,4,-50,-5,4.002144516911358
2,4,10,-4,2.993899367749691
2,4,-50,-3,4.795926285907626
2,4,15,-2,15.801159222610295
2,4,-50,-1,13.998297177255154
2,4,20,0,
2,4,-50,1,10.992861253209412
2,4,25,2,
2,4,-50,3,5.182406066916883
2,4,30,4,
2,4,-50,5,3.999445124063641
2,4,35,-5,4.191985139157623
2,4,-50,-4,4.198009379208088
2,4,40,-3,4.595041803084314
2,4,-50,-2,6.596901901066303
2,4,45,-1,
2,4,-50,0,2.784638522192836
2,4,50,1,5.598352384287864
2,5,-50,2,13.802866152953357
2,5,-45,3,2.5881275879219174
2,5,-50,4,3.600673992652446
2,5,-40,5,2.791136797051877
2,5,-50,-5,3.9950508079491556
2,5,-35,-4,
2,5,-50,-3,1.7950325617566705
2,5,-30,-2,
2,5,-50,-1,3.387898118235171
2,5,-25,0,3.397749672178179
2,5,-50,1,4.193799109663814
2,5,-20,2,3.6041515870019794
2,5,-50,3,
2,5,-15,4,2.5845979531295598
2,5,-50,5,4.802926592994481
2,5,-10,-5,
2,5,-50,-4,1.386460745241493
2,5,-5,-3,5.395173440687358
2,5,-50,-2,4.795600922778249
2,5,0,-1,3.3991765389218926
2,5,-50,0,4.795030668843538
2,5,5,1,
2,5,-50,2,15.994793873745948
2,5,10,3,
2,5,-50,4,1.393894453998655
2,5,15,5,3.5907891588285565
2,5,-50,-5,4.200092731975019
2,5,20,-4,4.986600227188319
2,5,-50,-3,
2,5,25,-2,
2,5,-50,-1,
2,5,30,0,4.395776710938662
2,5,-50,1,5.191703959833831
2,5,35,2,5.80135013628751
2,5,-50,3,4.9859781470149755
2,5,40,4,5.003744004294276
2,5,-50,5,6.793702186085284
2,5,45,-5,
2,5,-50,-4,3.793424920644611
2,5,50,-3,5.5951577592641115
2,6,-50,-2,
2,6,-45,-1,6.593761844094843
2,6,-50,0,2.5967601663433015
2,6,-40,1,3.1965101631358266
2,6,-50,2,4.587134676985443
2,6,-35,3,
2,6,-50,4,
2,6,-30,5,
2,6,-50,-5,2.186455199960619
2,6,-25,-4,4.007274747826159
2,6,-50,-3,4.9867394948378205
2,6,-20,-2,
2,6,-50,-1,5.198467913083732
2,6,-15,0,
2,6,-50,1,5.391721758060157
2,6,-10,2,3.596024394966662
2,6,-50,3,5.192994899582118
2,6,-5,4,
2,6,-50,5,4.987642725929618
2,6,0,-5,3.598989993799478
2,6,-50,-4,5.595213800203055
2,6,5,-3,
2,6,-50,-2,16.186914849095047
2,6,10,-1,
2,6,-50,0,2.5936039253138006
2,6,15,1,
2,6,-50,2,6.196474986150861
2,6,20,3,5.595556864049286
2,6,-50,4,6.792777622118592
2,6,25,5,5.202710187993944
2,6,-50,-5,5.595752784982324
2,6,30,-4,
2,6,-50,-3,
2,6,35,-2,
2,6,-50,-1,
2,6,40,0,
